Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
04/17/2020 10:08,04/17/2020 10:12,EURUSD,Buy,0.6,1.0816299999999999,1.08208,4.500000000000615,22.800000000003685,0,0
04/17/2020 10:08,04/17/2020 10:56,EURUSD,Buy,0.8,1.08131,1.08338,20.700000000000163,160.0000000000013,0,0
04/17/2020 10:08,04/17/2020 10:57,EURUSD,Buy,0.45,1.08131,1.08333,20.199999999999108,87.74999999999599,0,0
04/17/2020 10:08,04/17/2020 10:58,EURUSD,Buy,0.15,1.08131,1.08354,22.299999999999542,32.39999999999932,0,0
04/17/2020 11:11,04/17/2020 11:22,EURUSD,Sell,0.36,1.08415,1.08415,-0.0,-2.52,0,0
04/17/2020 11:12,04/17/2020 11:22,EURUSD,Sell,0.36,1.08444,1.08416,2.80000000000058,7.560000000002086,0,0
04/17/2020 11:14,04/17/2020 11:22,EURUSD,Sell,0.36,1.08475,1.0842100000000001,5.399999999999849,16.919999999999455,0,0
04/17/2020 11:33,04/17/2020 11:55,EURUSD,Buy,0.38,1.0841,1.08429,1.8999999999991246,4.559999999996674,0,0
04/17/2020 11:34,04/17/2020 11:55,EURUSD,Buy,0.18,1.08376,1.08427,5.1000000000001044,7.9200000000001864,0,0
04/17/2020 11:39,04/17/2020 11:55,EURUSD,Buy,0.28,1.08359,1.08428,6.899999999998574,17.359999999996006,0,0
04/17/2020 11:44,04/17/2020 11:58,EURUSD,Buy,0.28,1.0836,1.0846799999999999,10.799999999999699,28.27999999999916,0,0
04/17/2020 13:52,04/17/2020 14:01,EURUSD,Sell,0.48,1.08835,1.0883,0.4999999999988347,-0.9600000000055932,0,0
04/17/2020 13:58,04/17/2020 14:16,EURUSD,Sell,0.28,1.0885799999999999,1.08778,7.999999999999119,20.439999999997536,0,0
04/17/2020 14:19,04/17/2020 14:22,EURUSD,Buy,0.16,1.08795,1.08835,3.9999999999995595,5.279999999999295,0,0
