Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
11/20/2020 04:15,11/20/2020 09:07,EURUSD,Sell,0.01,1.18735,1.1877,-3.5000000000007248,-0.4200000000000725,00:04:52:54,-0.07
11/20/2020 05:10,11/20/2020 09:07,EURUSD,Sell,0.01,1.18759,1.1877,-1.100000000000545,-0.1800000000000545,00:03:57:53,-0.03
11/20/2020 05:25,11/20/2020 09:07,EURUSD,Sell,0.01,1.18781,1.1877,1.100000000000545,0.040000000000054506,00:03:42:53,0.01
11/20/2020 06:40,11/20/2020 09:07,EURUSD,Sell,0.01,1.1880899999999999,1.1877,3.8999999999989043,0.3199999999998904,00:02:27:54,0.05
11/20/2020 06:45,11/20/2020 09:07,EURUSD,Sell,0.01,1.18842,1.1877,7.200000000000539,0.6500000000000539,00:02:22:54,0.11
11/20/2020 07:45,11/20/2020 09:07,EURUSD,Sell,0.01,1.1887299999999998,1.1877,10.299999999998644,0.9599999999998644,00:01:22:54,0.16
11/20/2020 09:10,11/20/2020 09:16,EURUSD,Sell,0.01,1.18777,1.18746,3.1000000000003247,0.24000000000003244,00:00:06:33,0.04
11/20/2020 09:20,11/20/2020 09:33,EURUSD,Sell,0.01,1.1873799999999999,1.18708,2.9999999999996696,0.22999999999996693,00:00:13:32,0.04
11/20/2020 09:40,11/20/2020 10:01,EURUSD,Buy,0.01,1.18702,1.1872200000000002,2.000000000002,0.1300000000002,00:00:21:40,0.02
11/20/2020 09:45,11/20/2020 10:01,EURUSD,Buy,0.01,1.18677,1.1872,4.299999999999304,0.35999999999993043,00:00:16:43,0.06
11/20/2020 10:05,11/20/2020 10:55,EURUSD,Buy,0.01,1.18723,1.18726,0.2999999999997449,-0.0400000000000255,00:00:50:18,-0.01
11/20/2020 10:10,11/20/2020 10:55,EURUSD,Buy,0.01,1.18698,1.18726,2.80000000000058,0.21000000000005795,00:00:45:18,0.04
11/20/2020 10:40,11/20/2020 10:55,EURUSD,Buy,0.01,1.18666,1.18726,5.999999999999339,0.529999999999934,00:00:15:18,0.09
11/20/2020 11:00,11/20/2020 13:38,EURUSD,Buy,0.01,1.18729,1.1863,-9.900000000000464,-1.0600000000000462,00:02:38:15,-0.18
11/20/2020 11:05,11/20/2020 13:38,EURUSD,Buy,0.01,1.18624,1.1863,0.5999999999994898,-0.010000000000051011,00:02:33:15,0.0
11/20/2020 11:10,11/20/2020 13:38,EURUSD,Buy,0.01,1.18592,1.1863,3.7999999999982492,0.3099999999998249,00:02:28:15,0.05
11/20/2020 12:10,11/20/2020 13:38,EURUSD,Buy,0.01,1.18577,1.1863,5.299999999999194,0.4599999999999194,00:01:28:14,0.08
11/20/2020 12:20,11/20/2020 13:38,EURUSD,Buy,0.01,1.18546,1.1863,8.399999999999519,0.7699999999999518,00:01:18:14,0.13
11/20/2020 12:30,11/20/2020 13:38,EURUSD,Buy,0.01,1.1853200000000002,1.1863,9.799999999997588,0.9099999999997589,00:01:08:14,0.15
11/20/2020 13:40,11/20/2020 13:45,EURUSD,Buy,0.01,1.18651,1.18682,3.1000000000003247,0.24000000000003244,00:00:05:39,0.04
11/20/2020 13:55,11/20/2020 14:01,EURUSD,Buy,0.01,1.1873799999999999,1.1876799999999998,2.9999999999996696,0.22999999999996693,00:00:06:33,0.04
11/20/2020 14:10,11/20/2020 15:07,EURUSD,Sell,0.01,1.18686,1.18675,1.100000000000545,0.040000000000054506,00:00:57:06,0.01
11/20/2020 14:15,11/20/2020 15:07,EURUSD,Sell,0.01,1.18703,1.18674,2.900000000001235,0.22000000000012346,00:00:52:04,0.04
