Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit
11/11/2019 14:55,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.1037,1.10314,-12,0,5.6,292.59
11/11/2019 14:56,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.10382,1.10313,-12,0,6.9,363.3
11/11/2019 15:02,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.10404,1.10313,-12,0,9.1,482.96
11/11/2019 11:35,11/11/2019 13:28,EURUSD,Sell,6,0,0,1.10318,1.10297,-12,0,2.1,102.24
11/11/2019 10:00,11/11/2019 10:05,EURUSD,Sell,6,0,0,1.10301,1.10257,-12,0,4.4,227.44
11/09/2019 19:24,,,Withdrawal,0.01,0,0,0,0,0,0,0,-240000
11/07/2019 09:51,11/08/2019 22:28,EURUSD,Sell,6,0,0,1.10791,1.10214,-12,21.5,57.7,3150.66
10/10/2019 09:51,11/08/2019 22:27,EURUSD,Sell,6,0,0,1.10038,1.10215,-12,742.58,-17.7,-232.99
11/07/2019 12:07,11/08/2019 22:27,EURUSD,Sell,6,0,0,1.10816,1.10215,-12,21.5,60.1,3281.29
10/10/2019 09:36,11/08/2019 22:21,EURUSD,Sell,6,0,0,1.09919,1.10217,-12,742.58,-29.8,-891.67
10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09915,1.10216,-12,742.58,-30.1,-908.02
10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09909,1.10216,-12,742.58,-30.7,-940.68
10/10/2019 08:46,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09859,1.10216,-12,742.58,-35.7,-1212.88
11/06/2019 15:45,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10905,1.10217,-12,85.91,68.8,3819.25
10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09708,1.10217,-12,828.06,-50.9,-1954.84
10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09704,1.10216,-12,828.06,-51.2,-1971.19
10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09704,1.10216,-12,828.06,-51.2,-1971.19
11/06/2019 10:52,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10873,1.10216,-12,85.91,65.7,3650.52
11/07/2019 12:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10839,1.10216,-12,21.5,62.3,3401.02
10/09/2019 23:58,11/08/2019 22:14,EURUSD,Sell,6,0,0,1.09703,1.1022,-12,828.06,-51.7,-1998.31
10/09/2019 23:57,11/08/2019 22:13,EURUSD,Sell,6,0,0,1.09701,1.10219,-12,828.06,-51.8,-2003.78
10/09/2019 23:57,11/08/2019 22:12,EURUSD,Sell,6,0,0,1.097,1.10219,-12,828.06,-51.9,-2009.22
