Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
04/08/2021 19:36,04/08/2021 20:11,EURUSD,Sell,1.18,0,0,1.19247,1.19197,5.00,59.00,0,0
03/25/2021 18:59,03/25/2021 19:05,EURUSD,Buy,1.18,0,0,1.17755,1.17798,4.30,50.74,0,0
03/24/2021 10:49,03/24/2021 11:30,EURUSD,Buy,1.17,0,0,1.18207,1.18243,3.60,42.12,0,0
03/11/2021 11:40,03/11/2021 12:28,EURUSD,Sell,1.15,0,0,1.1963,1.1959,4.00,46.00,0,0
03/04/2021 21:56,03/04/2021 22:26,EURUSD,Buy,1.13,0,0,1.19718,1.19768,5.00,56.50,0,0
03/01/2021 12:41,03/01/2021 12:43,EURUSD,Buy,1.12,0,0,1.20302,1.20352,5.00,56.00,0,0
02/25/2021 12:00,02/25/2021 21:02,EURUSD,Sell,1.09,0,0,1.22062,1.22017,4.50,49.05,0,0
02/19/2021 11:43,02/19/2021 17:06,EURUSD,Sell,1.09,0,0,1.21288,1.21267,2.10,22.89,0,0
02/17/2021 16:37,02/17/2021 16:40,EURUSD,Buy,1.1,0,0,1.2045,1.2047,2.00,22.00,0,0
02/17/2021 16:30,02/17/2021 16:34,EURUSD,Buy,1.08,0,0,1.20469,1.20539,7.00,75.60,0,0
02/09/2021 05:40,02/09/2021 11:22,EURUSD,Sell,1.06,0,0,1.20779,1.20713,6.60,69.96,0,0
02/01/2021 13:37,02/01/2021 13:58,EURUSD,Buy,1.05,0,0,1.20744,1.20812,6.80,71.40,0,0
02/01/2021 12:01,02/01/2021 12:02,EURUSD,Buy,1.04,0,0,1.20859,1.20904,4.50,46.80,0,0
01/25/2021 17:54,01/25/2021 18:25,EURUSD,Buy,1.02,0,0,1.21223,1.21266,4.30,43.86,0,0
01/21/2021 18:32,01/21/2021 18:40,EURUSD,Sell,1.01,0,0,1.21679,1.21633,4.60,46.46,0,0
01/21/2021 16:51,01/21/2021 16:52,EURUSD,Sell,1.0,0,0,1.2171,1.21656,5.40,54.00,0,0
01/15/2021 17:58,01/15/2021 18:01,EURUSD,Buy,1.0,0,0,1.20962,1.21012,5.00,50.00,0,0
01/08/2021 11:07,01/08/2021 11:18,EURUSD,Buy,0.97,0,0,1.22184,1.22248,6.40,62.08,0,0
12/30/2020 04:38,12/30/2020 06:15,EURUSD,Sell,0.95,0,0,1.22897,1.22853,4.40,41.80,0,0
12/29/2020 17:53,12/29/2020 17:55,EURUSD,Sell,0.95,0,0,1.2273,1.22686,4.40,41.80,0,0
12/21/2020 10:40,12/21/2020 10:56,EURUSD,Buy,0.95,0,0,1.21725,1.21769,4.40,41.80,0,0
12/03/2020 15:58,12/03/2020 16:00,EURUSD,Sell,0.94,0,0,1.21581,1.2153,5.10,47.94,0,0
12/02/2020 18:32,12/02/2020 18:38,EURUSD,Sell,0.93,0,0,1.21,1.20926,7.40,68.82,0,0
12/02/2020 18:18,12/02/2020 18:24,EURUSD,Sell,0.92,0,0,1.21034,1.20985,4.90,45.08,0,0
12/01/2020 23:59,12/02/2020 03:10,EURUSD,Sell,0.91,0,0,1.20721,1.20676,4.50,40.95,0,0
12/01/2020 23:54,12/01/2020 23:55,EURUSD,Sell,0.9,0,0,1.20735,1.2065,8.50,76.50,0,0
12/01/2020 18:19,12/01/2020 18:20,EURUSD,Sell,0.89,0,0,1.20154,1.20101,5.30,47.17,0,0
12/01/2020 18:17,12/01/2020 18:17,EURUSD,Sell,0.88,0,0,1.20141,1.20101,4.00,35.20,0,0
11/25/2020 11:23,11/25/2020 11:29,EURUSD,Sell,0.88,0,0,1.19239,1.19168,7.10,62.48,0,0
11/25/2020 11:13,11/25/2020 11:19,EURUSD,Sell,0.87,0,0,1.1927,1.19222,4.80,41.76,0,0
10/29/2020 18:23,10/29/2020 21:24,EURUSD,Buy,0.87,0,0,1.16624,1.16694,7.00,60.90,0,0
10/29/2020 16:51,10/29/2020 16:52,EURUSD,Buy,0.86,0,0,1.16817,1.16863,4.60,39.56,0,0
10/29/2020 16:49,10/29/2020 16:50,EURUSD,Buy,0.86,0,0,1.16872,1.16914,4.20,36.12,0,0
10/28/2020 12:43,10/28/2020 12:47,EURUSD,Buy,0.84,0,0,1.17452,1.17501,4.90,41.16,0,0
10/23/2020 03:18,10/23/2020 03:54,EURUSD,Buy,0.83,0,0,1.17951,1.17993,4.20,34.86,0,0
10/23/2020 03:09,10/23/2020 03:09,EURUSD,Buy,0.82,0,0,1.17943,1.17991,4.80,39.36,0,0
10/20/2020 17:41,10/20/2020 17:55,EURUSD,Sell,0.81,0,0,1.18387,1.18345,4.20,34.02,0,0
10/19/2020 14:43,10/19/2020 15:39,EURUSD,Sell,0.81,0,0,1.17855,1.1781,4.50,36.45,0,0
10/15/2020 11:51,10/15/2020 12:18,EURUSD,Buy,0.8,0,0,1.17052,1.17117,6.50,52.00,0,0
10/13/2020 16:40,10/13/2020 16:58,EURUSD,Buy,0.79,0,0,1.17518,1.17568,5.00,39.50,0,0
10/09/2020 11:57,10/09/2020 12:09,EURUSD,Sell,0.74,0,0,1.1802,1.17977,4.30,31.82,0,0
10/05/2020 16:51,10/05/2020 17:38,EURUSD,Sell,0.73,0,0,1.17867,1.17804,6.30,45.99,0,0
09/29/2020 19:48,09/30/2020 06:14,EURUSD,Sell,0.72,0,0,1.1736,1.17313,4.70,33.84,0,0
09/29/2020 16:41,09/29/2020 18:45,EURUSD,Sell,0.72,0,0,1.1724,1.17195,4.50,32.40,0,0
09/22/2020 10:33,09/22/2020 10:55,EURUSD,Buy,0.71,0,0,1.17276,1.17316,4.00,28.40,0,0
09/21/2020 16:58,09/21/2020 17:07,EURUSD,Buy,0.7,0,0,1.17526,1.1757,4.40,30.80,0,0
09/21/2020 15:51,09/21/2020 15:59,EURUSD,Buy,0.69,0,0,1.17655,1.17719,6.40,44.16,0,0
