Tags,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price
,12/02/2019 16:41,12/06/2019 17:47,EURUSD,Sell,6,0,0,1.10439,1.1043
,12/02/2019 17:07,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10638,1.10432
,12/02/2019 17:08,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10647,1.10433
,12/02/2019 17:35,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.1075,1.10433
,12/02/2019 17:36,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10751,1.10432
,12/02/2019 21:06,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10799,1.10449
,12/02/2019 21:12,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10803,1.10448
,12/02/2019 21:17,12/06/2019 17:46,EURUSD,Sell,6,0,0,1.10823,1.10455
,12/03/2019 18:24,12/06/2019 17:45,EURUSD,Sell,6,0,0,1.10883,1.10455
,12/03/2019 18:33,12/06/2019 17:45,EURUSD,Sell,6,0,0,1.10923,1.10455
,12/04/2019 16:15,12/06/2019 17:45,EURUSD,Sell,6,0,0,1.11065,1.10455
,12/04/2019 16:16,12/06/2019 17:45,EURUSD,Sell,6,0,0,1.11062,1.10449
,12/05/2019 14:48,12/06/2019 17:45,EURUSD,Sell,6,0,0,1.11001,1.10446
,11/14/2019 14:51,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.09978,1.09962
,11/14/2019 17:44,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.09996,1.09966
,11/14/2019 18:16,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.10095,1.09959
,11/14/2019 18:40,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.10148,1.09963
,11/14/2019 20:48,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.10213,1.09964
,11/15/2019 15:44,11/27/2019 16:33,EURUSD,Sell,6,0,0,1.10366,1.09964
,11/15/2019 17:13,11/27/2019 16:32,EURUSD,Sell,6,0,0,1.10485,1.09967
,11/18/2019 09:16,11/27/2019 16:32,EURUSD,Sell,6,0,0,1.10662,1.09973
,11/18/2019 16:56,11/27/2019 16:32,EURUSD,Sell,6,0,0,1.10689,1.09967
,11/18/2019 17:31,11/27/2019 16:31,EURUSD,Sell,6,0,0,1.10696,1.09966
,11/18/2019 18:34,11/27/2019 16:31,EURUSD,Sell,6,0,0,1.10847,1.09963
,11/19/2019 15:27,11/27/2019 16:31,EURUSD,Sell,6,0,0,1.10807,1.09962
,11/21/2019 13:46,11/27/2019 16:31,EURUSD,Sell,6,0,0,1.10862,1.09975
,11/21/2019 15:02,11/27/2019 16:30,EURUSD,Sell,6,0,0,1.10937,1.09972
,11/21/2019 15:06,11/27/2019 16:30,EURUSD,Sell,6,0,0,1.1095,1.09967
,11/22/2019 10:48,11/27/2019 16:30,EURUSD,Sell,6,0,0,1.10756,1.09966
,11/14/2019 14:20,11/14/2019 14:39,EURUSD,Buy,6,0,0,1.09915,1.09943
,11/14/2019 09:57,11/14/2019 12:33,EURUSD,Sell,6,0,0,1.10103,1.10006
,11/14/2019 08:46,11/14/2019 09:45,EURUSD,Buy,6,0,0,1.09963,1.1007
,11/13/2019 19:04,11/13/2019 19:49,EURUSD,Buy,6,0,0,1.09963,1.10009
,11/12/2019 17:32,11/12/2019 17:58,EURUSD,Buy,6,0,0,1.10094,1.10143
,11/12/2019 17:36,11/12/2019 17:47,EURUSD,Buy,6,0,0,1.10058,1.10079
,11/12/2019 11:25,11/12/2019 13:21,EURUSD,Sell,6,0,0,1.10351,1.10197
,11/11/2019 14:55,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.1037,1.10314
,11/11/2019 14:56,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.10382,1.10313
,11/11/2019 15:02,11/11/2019 17:15,EURUSD,Sell,6,0,0,1.10404,1.10313
,11/11/2019 11:35,11/11/2019 13:28,EURUSD,Sell,6,0,0,1.10318,1.10297
,11/11/2019 10:00,11/11/2019 10:05,EURUSD,Sell,6,0,0,1.10301,1.10257
,11/09/2019 19:24,,,Withdrawal,0.01,0,0,0,0
,11/07/2019 09:51,11/08/2019 22:28,EURUSD,Sell,6,0,0,1.10791,1.10214
,10/10/2019 09:51,11/08/2019 22:27,EURUSD,Sell,6,0,0,1.10038,1.10215
,11/07/2019 12:07,11/08/2019 22:27,EURUSD,Sell,6,0,0,1.10816,1.10215
,10/10/2019 09:36,11/08/2019 22:21,EURUSD,Sell,6,0,0,1.09919,1.10217
,10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09915,1.10216
,10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09909,1.10216
,10/10/2019 08:46,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09859,1.10216
,11/06/2019 15:45,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10905,1.10217
,10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09708,1.10217
,10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09704,1.10216
,10/09/2019 23:58,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.09704,1.10216
,11/06/2019 10:52,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10873,1.10216
,11/07/2019 12:36,11/08/2019 22:20,EURUSD,Sell,6,0,0,1.10839,1.10216
,10/09/2019 23:58,11/08/2019 22:14,EURUSD,Sell,6,0,0,1.09703,1.1022
,10/09/2019 23:57,11/08/2019 22:13,EURUSD,Sell,6,0,0,1.09701,1.10219
,10/09/2019 23:57,11/08/2019 22:12,EURUSD,Sell,6,0,0,1.097,1.10219
,10/09/2019 23:57,11/08/2019 22:11,EURUSD,Sell,6,0,0,1.09699,1.10217
,10/09/2019 23:56,11/08/2019 22:11,EURUSD,Sell,6,0,0,1.09694,1.10216
,11/07/2019 12:48,11/08/2019 22:11,EURUSD,Sell,6,0,0,1.10867,1.10216
