Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2020.01.22 20:45:06;Sell;0.01;CHFJPY;113.422;114.160;112.756;2020.01.23 03:15:00;113.249;-0.07;0.03;1.58;
2020.01.22 21:30:03;Sell;0.01;NZDCAD;0.86672;0.87235;0.85804;2020.01.22 23:45:00;0.86638;-0.07;;0.26;
2020.01.22 22:45:06;Buy;0.01;GBPNZD;1.99137;1.97842;2.00406;2020.01.22 23:15:03;1.99225;-0.07;;0.58;
2020.01.22 20:00:03;Sell;0.01;AUDCAD;0.89930;0.90516;0.89017;2020.01.22 22:45:00;0.89906;-0.07;;0.18;
2020.01.22 21:30:00;Sell;0.01;EURCAD;1.45826;1.46774;1.43906;2020.01.22 22:15:00;1.45714;-0.07;;0.85;
2020.01.22 20:00:00;Buy;0.01;GBPUSD;1.31290;1.30434;1.32118;2020.01.22 22:15:00;1.31344;-0.07;;0.54;
2020.01.22 01:00:00;Sell;0.01;GBPAUD;1.90653;1.91887;1.88074;2020.01.22 04:51:20;1.90636;-0.07;;0.12;
2020.01.22 01:15:00;Sell;0.01;CHFJPY;113.425;114.162;113.094;2020.01.22 02:45:06;113.390;-0.07;;0.32;
2020.01.22 01:30:00;Sell;0.01;AUDCAD;0.89519;0.90101;0.89266;2020.01.22 02:45:00;0.89410;-0.07;;0.83;
2020.01.21 20:00:00;Buy;0.01;NZDCAD;0.86297;0.85736;0.86591;2020.01.22 02:30:17;0.86257;-0.07;-0.02;-0.31;
2020.01.21 23:00:00;Buy;0.01;GBPUSD;1.30434;1.29586;1.31270;2020.01.22 02:15:01;1.30521;-0.07;-0.04;0.87;
2020.01.21 23:15:00;Buy;0.01;EURCAD;1.44957;1.44015;1.45516;2020.01.22 02:00:00;1.44927;-0.07;-0.09;-0.23;
2020.01.21 23:30:00;Buy;0.01;GBPCAD;1.70519;1.69411;1.71468;2020.01.22 01:30:00;1.70554;-0.07;-0.05;0.27;
2020.01.21 21:45:00;Buy;0.01;CHFJPY;113.386;112.647;114.137;2020.01.22 01:15:01;113.424;-0.07;-0.02;0.34;
2020.01.21 23:45:00;Buy;0.01;GBPAUD;1.90485;1.89241;1.91620;2020.01.22 01:00:01;1.90641;-0.07;-0.02;1.07;
2020.01.21 21:15:03;Sell;0.01;GBPNZD;1.97843;1.99129;1.95890;2020.01.21 23:30:00;1.97781;-0.07;;0.40;
2020.01.21 21:15:00;Sell;0.01;GBPCAD;1.70688;1.71797;1.68916;2020.01.21 23:15:00;1.70550;-0.07;;1.05;
2020.01.21 21:30:00;Sell;0.01;GBPAUD;1.90674;1.91919;1.88107;2020.01.21 22:45:00;1.90561;-0.07;;0.77;
2020.01.21 20:15:04;Buy;0.01;EURCAD;1.44910;1.43968;1.45570;2020.01.21 21:15:00;1.45034;-0.07;;0.95;
2020.01.20 22:30:02;Sell;0.01;EURCAD;1.44739;1.45682;1.44352;2020.01.21 17:15:01;1.44977;-0.07;0.05;-1.83;
2020.01.20 21:30:03;Buy;0.01;GBPAUD;1.89137;1.87908;1.90190;2020.01.21 03:30:01;1.89315;-0.07;-0.02;1.22;
2020.01.20 21:30:04;Sell;0.01;AUDCAD;0.89685;0.90268;0.89332;2020.01.21 03:15:01;0.89659;-0.07;0.01;0.20;
2020.01.20 22:45:06;Sell;0.01;CHFJPY;113.795;114.532;113.435;2020.01.21 03:15:00;113.715;-0.07;0.01;0.73;
2020.01.20 21:45:01;Sell;0.01;GBPUSD;1.30034;1.30881;1.29307;2020.01.21 02:01:30;1.30022;-0.07;0.03;0.12;
2020.01.20 23:45:00;Sell;0.01;GBPCAD;1.69762;1.70865;1.69061;2020.01.21 01:30:05;1.69671;-0.07;0.02;0.70;
2020.01.20 21:00:30;Buy;0.01;GBPNZD;1.96797;1.95518;1.97632;2020.01.21 01:00:13;1.96848;-0.07;-0.01;0.34;
2020.01.20 21:30:13;Sell;0.01;NZDCAD;0.86222;0.86782;0.85862;2020.01.21 00:10:26;0.86272;-0.07;0.01;-0.38;
2020.01.20 20:15:00;Buy;0.01;EURCAD;1.44601;1.43661;1.45292;2020.01.20 21:30:01;1.44712;-0.07;;0.85;
2020.01.20 20:30:00;Buy;0.01;NZDCAD;0.86109;0.85549;0.86744;2020.01.20 21:00:01;0.86186;-0.07;;0.60;
2020.01.20 01:30:00;Sell;0.02;AUDCAD;0.89884;0.90471;0.89524;2020.01.20 09:30:01;0.89903;-0.14;;-0.29;
2020.01.20 01:45:02;Sell;0.02;NZDCAD;0.86467;0.87031;0.86041;2020.01.20 09:20:01;0.86461;-0.14;;0.09;
2020.01.20 00:01:12;Buy;0.01;GBPUSD;1.29977;1.29132;1.31732;2020.01.20 02:15:01;1.30041;-0.07;;0.64;
2020.01.20 00:10:33;Buy;0.02;GBPCAD;1.69858;1.68754;1.71627;2020.01.20 02:15:00;1.69918;-0.14;;0.92;
2020.01.20 00:13:19;Buy;0.02;NZDCAD;0.86423;0.85861;0.86925;2020.01.20 01:31:51;0.86433;-0.14;;0.15;
2020.01.17 01:15:00;Sell;0.02;GBPAUD;1.89653;1.90886;1.87689;2020.01.17 04:00:35;1.89575;-0.14;;1.08;
2020.01.17 01:15:00;Sell;0.04;CHFJPY;114.202;114.949;113.685;2020.01.17 04:00:00;114.175;-0.28;;0.98;
2020.01.16 23:00:00;Buy;0.02;EURCAD;1.45243;1.44301;1.45911;2020.01.17 03:00:00;1.45268;-0.14;-0.18;0.38;
2020.01.16 20:15:01;Sell;0.02;AUDNZD;1.03940;1.04508;1.03494;2020.01.17 02:45:00;1.03896;-0.14;-0.01;0.58;
2020.01.16 21:00:01;Sell;0.02;AUDCAD;0.89948;0.90533;0.89528;2020.01.17 02:15:00;0.89910;-0.14;0.01;0.58;
2020.01.17 00:19:01;Buy;0.02;NZDCAD;0.86497;0.85935;0.87234;2020.01.17 02:00:00;0.86552;-0.14;;0.84;
2020.01.16 22:45:00;Buy;0.02;GBPAUD;1.89464;1.88232;1.90459;2020.01.17 00:12:54;1.89530;-0.14;-0.04;0.91;
2020.01.16 22:00:00;Buy;0.04;GBPNZD;1.96972;1.95693;1.97962;2020.01.16 23:45:00;1.97083;-0.28;;2.95;
2020.01.16 22:00:00;Sell;0.02;NZDCAD;0.86565;0.87128;0.85797;2020.01.16 23:45:00;0.86522;-0.14;;0.66;
2020.01.16 21:00:00;Buy;0.04;GBPCHF;1.26049;1.25229;1.26653;2020.01.16 22:30:01;1.26103;-0.28;;2.24;
2020.01.15 23:30:00;Sell;0.01;GBPUSD;1.30337;1.31184;1.29557;2020.01.16 08:30:02;1.30359;-0.07;0.09;-0.22;
2020.01.15 23:30:00;Sell;0.04;GBPCHF;1.25653;1.26471;1.24865;2020.01.16 08:30:00;1.25766;-0.28;-0.84;-4.69;
2020.01.15 23:00:00;Sell;0.02;GBPCAD;1.69993;1.71098;1.69537;2020.01.16 08:30:00;1.70102;-0.14;0.13;-1.67;
2020.01.15 22:45:00;Sell;0.02;GBPAUD;1.88760;1.89988;1.88071;2020.01.16 02:06:09;1.88755;-0.14;0.07;0.07;
2020.01.15 20:45:06;Buy;0.04;CHFJPY;113.998;113.257;114.467;2020.01.16 01:15:00;114.027;-0.28;-0.31;1.06;
2020.01.15 21:45:00;Buy;0.02;AUDCAD;0.90049;0.89464;0.90365;2020.01.16 00:30:02;0.90082;-0.14;-0.08;0.51;
2020.01.15 22:00:00;Buy;0.01;GBPUSD;1.30246;1.29405;1.30713;2020.01.15 23:30:01;1.30338;-0.07;;0.92;
2020.01.15 22:00:00;Buy;0.02;GBPCAD;1.69862;1.68763;1.70589;2020.01.15 23:00:01;1.69993;-0.14;;2.01;
2020.01.15 22:00:00;Buy;0.02;NZDCAD;0.86173;0.85614;0.86767;2020.01.15 22:45:00;0.86269;-0.14;;1.47;
2020.01.15 22:00:00;Buy;0.02;EURCAD;1.45413;1.44472;1.46110;2020.01.15 22:45:00;1.45506;-0.14;;1.43;
2020.01.15 01:00:01;Sell;0.02;GBPAUD;1.88689;1.89926;1.87074;2020.01.15 11:45:00;1.88534;-0.14;;2.14;
2020.01.15 01:45:03;Sell;0.04;GBPNZD;1.97005;1.98286;1.94642;2020.01.15 08:30:00;1.96992;-0.28;;0.35;
2020.01.14 20:30:02;Sell;0.02;NZDCAD;0.86402;0.86963;0.86116;2020.01.15 05:45:05;0.86339;-0.14;;0.96;
2020.01.14 22:15:00;Sell;0.02;AUDCAD;0.90156;0.90742;0.89762;2020.01.15 05:30:01;0.90079;-0.14;0.01;1.18;
2020.01.14 23:30:00;Buy;0.04;CHFJPY;113.664;112.925;114.111;2020.01.15 02:45:00;113.679;-0.28;-0.10;0.55;
2020.01.14 23:00:01;Buy;0.01;GBPUSD;1.30212;1.29367;1.30722;2020.01.15 02:02:04;1.30220;-0.07;-0.04;0.08;
2020.01.14 23:00:01;Buy;0.02;GBPAUD;1.88604;1.87375;1.89436;2020.01.15 01:00:02;1.88680;-0.14;-0.05;1.05;
