Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price
12/03/2019 01:00,12/03/2019 09:23,EURUSD,Buy,14,0,0,1.10776,1.10796
11/26/2019 01:00,11/26/2019 10:56,EURUSD,Buy,14,0,0,1.10151,1.10171
11/19/2019 01:00,11/19/2019 05:48,EURUSD,Buy,14,0,0,1.10724,1.10744
11/12/2019 00:00,11/12/2019 02:06,EURUSD,Buy,14,0,0,1.10344,1.10367
10/22/2019 01:00,10/22/2019 04:16,EURUSD,Buy,14,0,0,1.11536,1.11556
10/15/2019 01:00,10/15/2019 04:30,EURUSD,Buy,14,0,0,1.10268,1.10287
10/08/2019 01:00,10/08/2019 04:57,EURUSD,Buy,14,0,0,1.09721,1.09741
10/01/2019 01:00,10/01/2019 13:17,EURUSD,Buy,14,0,0,1.08996,1.09031
09/24/2019 01:00,09/24/2019 12:32,EURUSD,Buy,14,0,0,1.09958,1.09977
09/17/2019 01:00,09/17/2019 03:30,EURUSD,Buy,14,0,0,1.10038,1.10058
09/10/2019 01:00,09/10/2019 09:55,EURUSD,Buy,14,0,0,1.105,1.1052
09/03/2019 01:00,09/03/2019 17:12,EURUSD,Buy,14,0,0,1.09708,1.09729
08/27/2019 01:00,08/27/2019 03:14,EURUSD,Buy,14,0,0,1.11025,1.11044
08/20/2019 01:00,08/20/2019 01:25,EURUSD,Buy,14,0,0,1.10804,1.10824
08/13/2019 01:00,08/13/2019 13:28,EURUSD,Buy,14,0,0,1.12173,1.12188
08/06/2019 01:00,08/06/2019 01:00,EURUSD,Buy,14,0,0,1.12148,1.12161
07/30/2019 01:00,07/30/2019 13:05,EURUSD,Buy,14,0,0,1.11471,1.1149
07/16/2019 01:00,07/18/2019 21:32,EURUSD,Buy,14,0,0,1.12622,1.12653
07/09/2019 01:00,07/09/2019 03:28,EURUSD,Buy,14,0,0,1.12161,1.12181
07/02/2019 01:00,07/02/2019 09:09,EURUSD,Buy,14,0,0,1.12894,1.12917
06/25/2019 01:00,06/25/2019 03:07,EURUSD,Buy,14,0,0,1.1399,1.14013
06/18/2019 01:00,06/18/2019 02:52,EURUSD,Buy,14,0,0,1.12221,1.12242
06/11/2019 01:00,06/11/2019 02:31,EURUSD,Buy,14,0,0,1.13139,1.13159
06/04/2019 01:00,06/04/2019 03:03,EURUSD,Buy,14,0,0,1.12452,1.12472
05/28/2019 01:00,06/03/2019 15:26,EURUSD,Buy,14,0,0,1.11959,1.11993
05/21/2019 02:00,05/21/2019 02:33,EURUSD,Buy,14,0,0,1.1169,1.11713
05/07/2019 02:00,05/07/2019 02:09,EURUSD,Buy,14,0,0,1.1199,1.12013
04/02/2019 02:00,04/02/2019 08:32,EURUSD,Buy,14,0,0,1.12071,1.12095
03/26/2019 01:00,03/26/2019 02:54,EURUSD,Buy,14,0,0,1.13152,1.13172
03/19/2019 01:00,03/19/2019 02:52,EURUSD,Buy,14,0,0,1.13357,1.13377
03/12/2019 01:00,03/12/2019 01:06,EURUSD,Buy,14,0,0,1.12642,1.12664
03/07/2019 16:08,03/07/2019 16:54,EURUSD,Sell,98,0,0,1.12459,1.12314
03/05/2019 01:00,03/07/2019 16:08,EURUSD,Buy,14,0,0,1.13379,1.12459
02/26/2019 01:00,02/26/2019 01:55,EURUSD,Buy,14,0,0,1.13604,1.13625
02/19/2019 01:00,02/19/2019 02:30,EURUSD,Buy,14,0,0,1.13113,1.13131
02/07/2019 11:08,02/07/2019 12:16,EURUSD,Sell,98,0,0,1.13465,1.13333
02/05/2019 01:00,02/07/2019 11:08,EURUSD,Buy,14,0,0,1.14381,1.13465
01/22/2019 01:00,01/22/2019 20:02,EURUSD,Buy,14,0,0,1.13711,1.13732
01/15/2019 01:00,01/15/2019 01:55,EURUSD,Buy,14,0,0,1.14697,1.14717
01/08/2019 01:00,01/08/2019 01:20,EURUSD,Buy,13,0,0,1.14779,1.148
01/02/2019 01:00,01/02/2019 01:02,EURUSD,Buy,13,0,0,1.14644,1.14664
12/18/2018 01:00,12/18/2018 01:21,EURUSD,Buy,13,0,0,1.13488,1.1351
12/11/2018 01:00,12/11/2018 01:20,EURUSD,Buy,13,0,0,1.13536,1.13559
12/04/2018 01:00,12/04/2018 03:22,EURUSD,Buy,13,0,0,1.13551,1.13571
11/27/2018 01:00,11/27/2018 02:22,EURUSD,Buy,13,0,0,1.13323,1.13344
11/20/2018 00:01,11/20/2018 09:31,EURUSD,Buy,13,0,0,1.14576,1.14592
11/13/2018 00:01,11/13/2018 00:07,EURUSD,Buy,13,0,0,1.12198,1.12218
10/23/2018 01:00,10/23/2018 10:37,EURUSD,Buy,13,0,0,1.14664,1.14683
10/16/2018 01:00,10/16/2018 03:21,EURUSD,Buy,13,0,0,1.15833,1.15852
10/09/2018 01:00,10/09/2018 07:24,EURUSD,Buy,13,0,0,1.1493,1.1495
10/02/2018 01:00,10/02/2018 01:38,EURUSD,Buy,13,0,0,1.15759,1.1578
09/25/2018 01:00,09/25/2018 02:36,EURUSD,Buy,13,0,0,1.175,1.17521
09/18/2018 01:00,09/18/2018 06:01,EURUSD,Buy,13,0,0,1.16864,1.16888
09/11/2018 01:00,09/11/2018 06:50,EURUSD,Buy,13,0,0,1.15973,1.15993
09/04/2018 01:00,09/05/2018 16:16,EURUSD,Buy,13,0,0,1.16189,1.16215
08/28/2018 01:00,08/28/2018 02:55,EURUSD,Buy,13,0,0,1.16803,1.16823
08/21/2018 01:00,08/21/2018 03:11,EURUSD,Buy,13,0,0,1.14917,1.14936
08/14/2018 01:00,08/14/2018 04:44,EURUSD,Buy,13,0,0,1.1407,1.14092
08/07/2018 01:00,08/07/2018 02:00,EURUSD,Buy,13,0,0,1.15546,1.15566
07/31/2018 01:00,07/31/2018 03:05,EURUSD,Buy,13,0,0,1.17077,1.17098
07/17/2018 01:00,07/17/2018 06:29,EURUSD,Buy,13,0,0,1.17118,1.17135
07/10/2018 01:00,07/10/2018 01:45,EURUSD,Buy,13,0,0,1.17497,1.17518
07/03/2018 01:00,07/03/2018 01:53,EURUSD,Buy,13,0,0,1.16371,1.16391
06/26/2018 01:00,06/26/2018 03:34,EURUSD,Buy,13,0,0,1.17044,1.17067
06/19/2018 01:00,06/19/2018 02:11,EURUSD,Buy,13,0,0,1.1622,1.1624
06/12/2018 01:00,06/12/2018 10:11,EURUSD,Buy,13,0,0,1.17836,1.1787
06/05/2018 01:00,06/05/2018 03:00,EURUSD,Buy,13,0,0,1.16985,1.17006
05/29/2018 01:00,05/29/2018 02:09,EURUSD,Buy,13,0,0,1.16259,1.16279
05/22/2018 01:00,05/22/2018 10:34,EURUSD,Buy,13,0,0,1.17949,1.17969
05/15/2018 01:00,05/15/2018 01:13,EURUSD,Buy,13,0,0,1.19284,1.19304
05/08/2018 01:00,05/08/2018 02:32,EURUSD,Buy,13,0,0,1.19235,1.19253
05/01/2018 01:00,05/01/2018 02:35,EURUSD,Buy,13,0,0,1.208,1.20821
04/24/2018 01:00,04/24/2018 06:02,EURUSD,Buy,13,0,0,1.22099,1.22119
04/17/2018 01:00,04/17/2018 02:51,EURUSD,Buy,13,0,0,1.2382,1.2384
04/10/2018 01:00,04/10/2018 03:11,EURUSD,Buy,13,0,0,1.23255,1.23275
04/03/2018 01:00,04/03/2018 04:12,EURUSD,Buy,13,0,0,1.23035,1.23056
03/27/2018 01:00,03/27/2018 01:56,EURUSD,Buy,13,0,0,1.24486,1.24506
03/20/2018 00:00,03/20/2018 01:14,EURUSD,Buy,13,0,0,1.23361,1.23381
03/13/2018 00:00,03/13/2018 01:39,EURUSD,Buy,13,0,0,1.23362,1.23382
03/06/2018 00:00,03/06/2018 02:20,EURUSD,Buy,13,0,0,1.2338,1.234
02/27/2018 00:00,02/27/2018 02:03,EURUSD,Buy,13,0,0,1.23195,1.23218
02/20/2018 00:00,02/20/2018 01:04,EURUSD,Buy,13,0,0,1.24089,1.24109
02/13/2018 00:00,02/13/2018 01:04,EURUSD,Buy,13,0,0,1.22938,1.22958
01/30/2018 00:00,01/30/2018 03:45,EURUSD,Buy,13,0,0,1.23848,1.2387
01/23/2018 00:00,01/23/2018 02:32,EURUSD,Buy,13,0,0,1.22639,1.22655
01/16/2018 00:00,01/16/2018 01:18,EURUSD,Buy,13,0,0,1.22655,1.22679
01/09/2018 00:00,01/09/2018 02:33,EURUSD,Buy,13,0,0,1.19688,1.19708
12/19/2017 00:00,12/19/2017 00:30,EURUSD,Buy,13,0,0,1.1783,1.1785
12/12/2017 00:00,12/12/2017 00:13,EURUSD,Buy,13,0,0,1.17707,1.17712
12/05/2017 00:00,12/05/2017 02:48,EURUSD,Buy,12.7,0,0,1.18697,1.18717
