Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price
12/06/2019 17:51,12/06/2019 20:19,EURUSD,Buy,0.83,0,1.10551,1.10404,1.10551
12/06/2019 17:43,12/06/2019 20:19,EURUSD,Buy,0.49,0,1.10551,1.10503,1.10551
12/06/2019 16:59,12/06/2019 20:19,EURUSD,Buy,0.29,0,1.10551,1.10604,1.10551
12/06/2019 15:30,12/06/2019 20:19,EURUSD,Buy,0.1,0,1.10551,1.10805,1.10551
12/06/2019 11:50,12/06/2019 20:19,EURUSD,Buy,0.06,0,1.10551,1.10991,1.10551
12/06/2019 16:13,12/06/2019 20:19,EURUSD,Buy,0.17,0,1.10551,1.10707,1.10551
12/05/2019 16:39,12/06/2019 15:30,EURUSD,Sell,0.1,0,1.1088,1.11031,1.1088
12/05/2019 11:10,12/06/2019 15:30,EURUSD,Sell,0.06,0,1.1088,1.1093,1.1088
12/04/2019 18:51,12/05/2019 02:29,EURUSD,Buy,0.1,0,1.10847,1.10703,1.10847
12/04/2019 18:47,12/05/2019 02:29,EURUSD,Buy,0.06,0,1.10847,1.10798,1.10847
12/04/2019 15:58,12/04/2019 17:04,EURUSD,Sell,0.17,0,1.10917,1.11067,1.10917
12/04/2019 15:47,12/04/2019 17:04,EURUSD,Sell,0.1,0,1.10917,1.10965,1.10917
12/04/2019 15:15,12/04/2019 17:04,EURUSD,Sell,0.06,0,1.10917,1.10864,1.10917
12/04/2019 11:31,12/04/2019 14:49,EURUSD,Buy,0.06,1.1079,1.1084,1.1069,1.10789
12/04/2019 10:20,12/04/2019 11:25,EURUSD,Sell,0.06,0,1.10702,1.10852,1.10702
12/03/2019 18:29,12/04/2019 06:09,EURUSD,Sell,0.1,0,1.10779,1.10908,1.10779
12/03/2019 16:30,12/04/2019 06:09,EURUSD,Sell,0.06,0,1.10779,1.10826,1.10779
12/03/2019 12:30,12/03/2019 16:21,EURUSD,Buy,0.06,1.10791,1.10841,1.10691,1.10789
12/02/2019 18:28,12/02/2019 19:53,EURUSD,Sell,2.4,0,1.1072,1.10866,1.1072
12/02/2019 18:05,12/02/2019 19:53,EURUSD,Sell,1.41,0,1.1072,1.10769,1.1072
12/02/2019 15:05,12/02/2019 19:53,EURUSD,Sell,0.06,0,1.1072,1.10219,1.1072
12/02/2019 17:20,12/02/2019 19:53,EURUSD,Sell,0.83,0,1.1072,1.10672,1.1072
12/02/2019 15:54,12/02/2019 19:53,EURUSD,Sell,0.1,0,1.1072,1.1032,1.1072
12/02/2019 16:11,12/02/2019 19:53,EURUSD,Sell,0.17,0,1.1072,1.10411,1.1072
12/02/2019 17:00,12/02/2019 19:53,EURUSD,Sell,0.29,0,1.1072,1.1049,1.1072
12/02/2019 17:00,12/02/2019 19:53,EURUSD,Sell,0.49,0,1.1072,1.10573,1.1072
12/02/2019 14:00,12/02/2019 14:58,EURUSD,Buy,0.06,1.10169,1.10224,1.10069,1.10169
11/29/2019 17:57,12/02/2019 11:19,EURUSD,Sell,0.17,0,1.10109,1.10258,1.10109
11/29/2019 17:39,12/02/2019 11:19,EURUSD,Sell,0.1,0,1.10109,1.10158,1.10109
11/29/2019 17:24,12/02/2019 11:19,EURUSD,Sell,0.06,0,1.10109,1.10057,1.10109
11/29/2019 15:10,11/29/2019 16:54,EURUSD,Buy,0.17,0,1.10008,1.0986,1.10008
11/29/2019 13:45,11/29/2019 16:54,EURUSD,Buy,0.1,0,1.10008,1.09959,1.10008
11/28/2019 13:24,11/29/2019 16:54,EURUSD,Buy,0.06,0,1.10008,1.10059,1.10008
11/28/2019 11:02,11/28/2019 14:05,EURUSD,Sell,0.06,0,1.10006,1.10159,1.10006
11/27/2019 16:45,11/27/2019 17:34,EURUSD,Buy,0.06,1.10036,1.10083,1.09936,1.10034
11/25/2019 15:06,11/25/2019 17:22,EURUSD,Buy,0.29,0,1.10235,1.10083,1.10235
11/22/2019 21:46,11/25/2019 17:22,EURUSD,Buy,0.17,0,1.10235,1.10187,1.10235
11/22/2019 18:28,11/25/2019 17:22,EURUSD,Buy,0.1,0,1.10235,1.1029,1.10235
11/22/2019 17:40,11/25/2019 17:22,EURUSD,Buy,0.06,0,1.10235,1.10391,1.10235
11/25/2019 07:57,11/25/2019 11:35,EURUSD,Sell,0.06,0,1.10126,1.10275,1.10126
11/22/2019 10:30,11/22/2019 10:35,EURUSD,Sell,0.17,0,1.10697,1.10827,1.10697
11/22/2019 10:17,11/22/2019 10:35,EURUSD,Sell,0.1,0,1.10697,1.10746,1.10697
11/22/2019 01:46,11/22/2019 10:35,EURUSD,Sell,0.06,0,1.10697,1.10653,1.10697
11/22/2019 10:10,11/22/2019 10:16,EURUSD,Buy,0.06,1.10706,1.10756,1.10606,1.10704
11/21/2019 21:04,11/22/2019 08:38,EURUSD,Buy,0.17,0,1.10694,1.1054,1.10694
11/21/2019 19:17,11/22/2019 08:38,EURUSD,Buy,0.1,0,1.10694,1.10645,1.10694
11/21/2019 16:07,11/22/2019 08:38,EURUSD,Buy,0.06,0,1.10694,1.10745,1.10694
11/21/2019 14:54,11/21/2019 15:58,EURUSD,Sell,0.17,0,1.10774,1.10924,1.10774
11/21/2019 10:45,11/21/2019 15:58,EURUSD,Sell,0.1,0,1.10774,1.10823,1.10774
11/20/2019 16:40,11/21/2019 15:58,EURUSD,Sell,0.06,0,1.10774,1.10722,1.10774
11/19/2019 14:04,11/20/2019 10:12,EURUSD,Sell,0.06,0,1.1064,1.1079,1.1064
11/19/2019 10:00,11/19/2019 14:05,EURUSD,Buy,0.06,1.10797,1.10847,1.10697,1.10797
11/19/2019 03:05,11/19/2019 07:45,EURUSD,Buy,0.06,1.10761,1.1081,1.10661,1.10761
11/18/2019 18:04,11/19/2019 03:02,EURUSD,Sell,4.08,0,1.10686,1.10837,1.10686
11/18/2019 17:47,11/19/2019 03:02,EURUSD,Sell,2.4,0,1.10686,1.10735,1.10686
11/14/2019 16:19,11/19/2019 03:02,EURUSD,Sell,0.06,0,1.10686,1.10032,1.10686
11/14/2019 18:19,11/19/2019 03:02,EURUSD,Sell,0.1,0,1.10686,1.10132,1.10686
11/18/2019 05:59,11/19/2019 03:02,EURUSD,Sell,1.41,0,1.10686,1.10633,1.10686
11/14/2019 20:58,11/19/2019 03:02,EURUSD,Sell,0.17,0,1.10686,1.10233,1.10686
11/15/2019 14:47,11/19/2019 03:02,EURUSD,Sell,0.29,0,1.10686,1.10333,1.10686
11/15/2019 16:05,11/19/2019 03:02,EURUSD,Sell,0.49,0,1.10686,1.10433,1.10686
11/15/2019 17:25,11/19/2019 03:02,EURUSD,Sell,0.83,0,1.10686,1.10533,1.10686
11/15/2019 09:51,11/15/2019 12:49,EURUSD,Buy,0.06,1.10266,1.10315,1.10166,1.10264
11/14/2019 09:40,11/14/2019 13:42,EURUSD,Sell,0.06,0,1.09907,1.10057,1.09907
11/13/2019 19:03,11/14/2019 10:16,EURUSD,Buy,0.29,0,1.10131,1.09983,1.10131
11/12/2019 17:34,11/14/2019 10:16,EURUSD,Buy,0.17,0,1.10131,1.10082,1.10131
11/12/2019 13:10,11/14/2019 10:16,EURUSD,Buy,0.1,0,1.10131,1.10184,1.10131
11/12/2019 04:00,11/14/2019 10:16,EURUSD,Buy,0.06,0,1.10131,1.10283,1.10131
11/13/2019 11:56,11/13/2019 14:42,EURUSD,Sell,0.06,0,1.10019,1.10168,1.10019
11/08/2019 17:02,11/11/2019 14:15,EURUSD,Buy,0.1,0,1.10383,1.10233,1.10383
11/08/2019 13:01,11/11/2019 14:15,EURUSD,Buy,0.06,0,1.10383,1.10334,1.10383
11/07/2019 17:57,11/07/2019 21:28,EURUSD,Buy,0.29,0,1.1052,1.10371,1.1052
11/07/2019 17:47,11/07/2019 21:28,EURUSD,Buy,0.17,0,1.1052,1.10473,1.1052
11/07/2019 17:03,11/07/2019 21:28,EURUSD,Buy,0.1,0,1.1052,1.10574,1.1052
11/07/2019 15:57,11/07/2019 21:28,EURUSD,Buy,0.06,0,1.1052,1.10676,1.1052
11/07/2019 12:57,11/07/2019 14:33,EURUSD,Sell,0.17,0,1.10748,1.10898,1.10748
11/07/2019 09:50,11/07/2019 14:33,EURUSD,Sell,0.1,0,1.10748,1.10798,1.10748
11/07/2019 09:35,11/07/2019 14:33,EURUSD,Sell,0.06,0,1.10748,1.10697,1.10748
11/07/2019 05:21,11/07/2019 09:34,EURUSD,Buy,0.17,0,1.10704,1.10553,1.10704
11/06/2019 19:47,11/07/2019 09:34,EURUSD,Buy,0.1,0,1.10704,1.10658,1.10704
11/06/2019 17:36,11/07/2019 09:34,EURUSD,Buy,0.06,0,1.10704,1.10758,1.10704
