Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
12/06/2019 20:01,12/06/2019 23:18,GBPUSD,Sell,0.1,1.31355,1.31358
12/06/2019 20:06,12/06/2019 23:18,GBPUSD,Sell,0.1,1.31383,1.31359
12/06/2019 20:56,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31363,1.31359
12/06/2019 20:56,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31363,1.31359
12/06/2019 20:56,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31363,1.31359
12/06/2019 20:56,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31362,1.31358
12/06/2019 20:56,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31362,1.31358
12/06/2019 21:02,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31374,1.31358
12/06/2019 21:07,12/06/2019 23:18,GBPUSD,Sell,0.2,1.31384,1.31358
12/06/2019 15:51,12/06/2019 16:08,GBPUSD,Sell,0.1,1.31294,1.31201
12/06/2019 12:37,12/06/2019 14:34,GBPUSD,Buy,0.1,1.31389,1.31392
12/06/2019 13:44,12/06/2019 14:29,GBPUSD,Buy,0.1,1.31319,1.31356
12/06/2019 13:06,12/06/2019 13:10,GBPUSD,Buy,0.1,1.31317,1.31336
12/06/2019 13:00,12/06/2019 13:04,GBPUSD,Buy,0.1,1.3131,1.31342
12/05/2019 16:54,12/05/2019 17:45,GBPUSD,Buy,0.1,1.31566,1.31468
12/05/2019 17:09,12/05/2019 17:45,GBPUSD,Buy,0.1,1.31444,1.31468
12/05/2019 17:11,12/05/2019 17:45,GBPUSD,Buy,0.1,1.31403,1.31445
12/05/2019 17:32,12/05/2019 17:45,GBPUSD,Buy,0.1,1.31323,1.31441
12/05/2019 17:03,12/05/2019 17:44,GBPUSD,Buy,0.1,1.31512,1.3144
12/05/2019 17:32,12/05/2019 17:44,GBPUSD,Buy,0.1,1.31323,1.31441
12/05/2019 09:10,12/05/2019 10:19,GBPUSD,Buy,0.1,1.31268,1.31401
12/04/2019 11:18,12/04/2019 11:58,GBPUSD,Buy,0.1,1.30431,1.30493
12/04/2019 11:32,12/04/2019 11:58,GBPUSD,Buy,0.1,1.30435,1.30497
12/04/2019 10:59,12/04/2019 11:01,GBPUSD,Buy,0.1,1.30475,1.30564
12/04/2019 10:08,12/04/2019 10:21,GBPUSD,Buy,0.1,1.3015,1.30401
12/04/2019 09:27,12/04/2019 10:08,GBPUSD,Buy,0.1,1.29907,1.30005
12/04/2019 09:32,12/04/2019 09:57,GBPUSD,Buy,0.1,1.29884,1.29935
12/03/2019 10:57,12/03/2019 13:27,GBPUSD,Buy,0.1,1.29872,1.29928
12/03/2019 12:28,12/03/2019 13:27,GBPUSD,Buy,0.1,1.29829,1.29929
12/03/2019 12:43,12/03/2019 13:03,GBPUSD,Buy,0.1,1.29771,1.29846
12/03/2019 11:14,12/03/2019 11:50,GBPUSD,Buy,0.1,1.29786,1.2982
12/03/2019 11:31,12/03/2019 11:50,GBPUSD,Buy,0.1,1.29754,1.29809
12/03/2019 10:00,12/03/2019 10:21,GBPUSD,Buy,0.1,1.29715,1.29744
12/02/2019 19:29,12/02/2019 20:23,GBPUSD,Sell,0.1,1.29381,1.29346
12/02/2019 20:10,12/02/2019 20:23,GBPUSD,Sell,0.1,1.29381,1.29346
12/02/2019 19:31,12/02/2019 19:55,GBPUSD,Sell,0.1,1.29394,1.29317
12/02/2019 16:53,12/02/2019 17:00,GBPUSD,Buy,0.1,1.29277,1.29377
12/02/2019 13:58,12/02/2019 14:51,GBPUSD,Buy,0.1,1.29189,1.29289
11/29/2019 09:11,11/29/2019 11:36,GBPUSD,Sell,0.1,1.29069,1.28969
11/28/2019 15:03,11/29/2019 00:38,GBPUSD,Buy,0.1,1.29163,1.29107
11/28/2019 16:58,11/28/2019 21:57,GBPUSD,Buy,0.1,1.29086,1.29098
11/28/2019 18:32,11/28/2019 20:34,GBPUSD,Buy,0.1,1.2903,1.29077
11/27/2019 13:41,11/27/2019 15:33,GBPUSD,Sell,0.1,1.28793,1.28761
11/27/2019 14:59,11/27/2019 15:19,GBPUSD,Sell,0.1,1.28861,1.28825
