Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %,,
01/19/2018 20:38,01/19/2018 20:59,EURUSD,Buy,10.75,0,0,1.22224,1.22303,7.9,849.25,00:00:21:00,0.32,,263619.41
01/19/2018 20:39,01/19/2018 20:59,EURUSD,Buy,10.75,0,0,1.2221,1.22303,9.3,999.75,00:00:20:00,0.38,,262770.16
01/19/2018 17:01,01/19/2018 20:37,EURUSD,Sell,10.52,0,0,1.22471,1.22233,23.8,2503.76,00:03:36:00,0.97,,261770.41
01/19/2018 17:02,01/19/2018 20:37,EURUSD,Sell,10.52,0,0,1.22482,1.22233,24.9,2619.48,00:03:35:00,1.01,,259266.65
01/19/2018 16:33,01/19/2018 17:00,EURUSD,Sell,10.64,0,0,1.22384,1.22511,-12.7,-1351.28,00:00:27:00,-0.52,,256647.17
01/19/2018 16:34,01/19/2018 17:00,EURUSD,Sell,10.64,0,0,1.22368,1.22511,-14.3,-1521.52,00:00:26:00,-0.59,,257998.45
01/19/2018 05:44,01/19/2018 16:32,EURUSD,Sell,10.39,0,0,1.22661,1.22388,27.3,2836.47,00:10:48:00,1.11,,259519.97
01/19/2018 05:45,01/19/2018 16:32,EURUSD,Sell,10.4,0,0,1.22646,1.22388,25.8,2683.2,00:10:47:00,1.04,,256683.5
01/18/2018 14:50,01/18/2018 15:43,EURUSD,Buy,10.36,0,0,1.22374,1.22438,6.4,663.04,00:00:53:00,0.26,,254000.3
01/18/2018 14:51,01/18/2018 15:43,EURUSD,Buy,10.36,0,0,1.22362,1.22438,7.6,787.36,00:00:52:00,0.31,,253337.26
01/18/2018 14:13,01/18/2018 14:49,EURUSD,Buy,10.46,0,0,1.22508,1.2238,-12.8,-1338.88,00:00:36:00,-0.52,,252549.9
01/18/2018 14:14,01/18/2018 14:49,EURUSD,Buy,10.46,0,0,1.22507,1.2238,-12.7,-1328.42,00:00:35:00,-0.52,,253888.78
01/18/2018 09:31,01/18/2018 14:12,EURUSD,Buy,10.05,0,0,1.21895,1.22477,58.2,5849.1,00:04:41:00,2.39,,255217.2
01/18/2018 09:32,01/18/2018 14:12,EURUSD,Buy,10.05,0,0,1.21945,1.22477,53.2,5346.6,00:04:40:00,2.13,,249368.1
01/17/2018 10:35,01/17/2018 19:55,EURUSD,Sell,10.2,0,0,1.22264,1.2247,-20.6,-2101.2,00:09:20:00,-0.84,,244021.5
01/17/2018 10:36,01/17/2018 19:55,EURUSD,Sell,10.2,0,0,1.22249,1.2247,-22.1,-2254.2,00:09:19:00,-0.91,,246122.7
01/17/2018 01:29,01/17/2018 10:34,EURUSD,Sell,9.87,0,0,1.22636,1.22271,36.5,3602.55,00:09:05:00,1.49,,248376.9
01/17/2018 01:30,01/17/2018 10:34,EURUSD,Sell,9.87,0,0,1.2265,1.22271,37.9,3740.73,00:09:04:00,1.52,,244774.35
01/16/2018 23:48,01/17/2018 01:28,EURUSD,Sell,9.93,0,0,1.22576,1.22645,-6.9,-634.82,00:01:40:00,-0.26,,241033.62
01/16/2018 23:49,01/17/2018 01:28,EURUSD,Sell,9.93,0,0,1.22554,1.22645,-9.1,-853.28,00:01:39:00,-0.35,,241668.44
01/16/2018 22:24,01/16/2018 23:47,EURUSD,Sell,9.81,0,0,1.22734,1.22595,13.9,1363.59,00:01:23:00,0.57,,242521.72
01/16/2018 22:25,01/16/2018 23:47,EURUSD,Sell,9.81,0,0,1.22732,1.22595,13.7,1343.97,00:01:22:00,0.55,,241158.13
01/16/2018 15:56,01/16/2018 22:23,EURUSD,Buy,9.42,0,0,1.22159,1.22732,57.3,5397.66,00:06:27:00,2.35,,239814.16
01/16/2018 15:57,01/16/2018 22:23,EURUSD,Buy,9.42,0,0,1.22162,1.22732,57,5369.4,00:06:26:00,2.28,,234416.5
01/16/2018 14:07,01/16/2018 15:55,EURUSD,Buy,9.49,0,0,1.22239,1.22133,-10.6,-1005.94,00:01:48:00,-0.43,,229047.1
01/16/2018 14:08,01/16/2018 15:55,EURUSD,Buy,9.49,0,0,1.22235,1.22133,-10.2,-967.98,00:01:47:00,-0.42,,230053.04
01/16/2018 08:05,01/16/2018 14:06,EURUSD,Sell,9.2,0,0,1.22591,1.22239,35.2,3238.4,00:06:01:00,1.44,,231021.02
01/16/2018 08:06,01/16/2018 14:06,EURUSD,Sell,9.19,0,0,1.22601,1.22239,36.2,3326.78,00:06:00:00,1.45,,227782.62
01/15/2018 13:11,01/15/2018 19:44,EURUSD,Buy,9.09,0,0,1.22676,1.22793,11.7,1063.53,00:06:33:00,0.48,,224455.84
01/15/2018 13:12,01/15/2018 19:44,EURUSD,Buy,9.1,0,0,1.22653,1.22793,14,1274,00:06:32:00,0.57,,223392.31
01/15/2018 13:05,01/15/2018 13:10,EURUSD,Buy,9.19,0,0,1.22809,1.22668,-14.1,-1295.79,00:00:05:00,-0.57,,222118.31
01/15/2018 13:06,01/15/2018 13:10,EURUSD,Buy,9.19,0,0,1.22803,1.22668,-13.5,-1240.65,00:00:04:00,-0.55,,223414.1
01/15/2018 09:33,01/15/2018 13:04,EURUSD,Buy,8.73,0,0,1.22102,1.2281,70.8,6180.84,00:03:31:00,2.9,,224654.75
01/15/2018 09:34,01/15/2018 13:04,EURUSD,Buy,8.73,0,0,1.221,1.2281,71,6198.3,00:03:30:00,2.82,,218473.91
01/15/2018 03:46,01/15/2018 09:32,EURUSD,Buy,8.68,0,0,1.2201,1.22087,7.7,668.36,00:05:46:00,0.32,,212275.61
01/15/2018 03:47,01/15/2018 09:32,EURUSD,Buy,8.68,0,0,1.22005,1.22087,8.2,711.76,00:05:45:00,0.33,,211607.25
01/15/2018 02:00,01/15/2018 03:45,EURUSD,Sell,8.76,0,0,1.21916,1.22016,-10,-876,00:01:45:00,-0.41,,210895.49
01/15/2018 02:01,01/15/2018 03:45,EURUSD,Sell,8.76,0,0,1.2193,1.22016,-8.6,-753.36,00:01:44:00,-0.35,,211771.49
01/12/2018 13:36,01/15/2018 01:59,EURUSD,Buy,8.4,0,0,1.21326,1.21907,58.1,4814.71,02:12:23:00,2.36,,212524.85
01/12/2018 13:37,01/15/2018 01:59,EURUSD,Buy,8.4,0,0,1.21304,1.21907,60.3,4999.51,02:12:22:00,2.4,,207710.14
01/12/2018 13:28,01/12/2018 13:35,EURUSD,Sell,8.47,0,0,1.21252,1.21351,-9.9,-838.53,00:00:07:00,-0.41,,202710.63
01/12/2018 13:29,01/12/2018 13:35,EURUSD,Sell,8.47,0,0,1.21246,1.21351,-10.5,-889.35,00:00:06:00,-0.43,,203549.16
01/12/2018 06:37,01/12/2018 13:27,EURUSD,Buy,8.01,0,0,1.20489,1.21264,77.5,6207.75,00:06:50:00,3.22,,204438.51
01/12/2018 06:38,01/12/2018 13:27,EURUSD,Buy,8.01,0,0,1.20489,1.21264,77.5,6207.75,00:06:49:00,3.12,,198230.76
01/11/2018 23:02,01/12/2018 06:36,EURUSD,Buy,7.94,0,0,1.20353,1.20478,12.5,930.41,00:07:34:00,0.49,,192023.01
01/11/2018 23:03,01/12/2018 06:36,EURUSD,Buy,7.94,0,0,1.20348,1.20478,13,970.11,00:07:33:00,0.51,,191092.6
01/11/2018 15:29,01/11/2018 23:01,EURUSD,Buy,7.81,0,0,1.20098,1.20334,23.6,1843.16,00:07:32:00,0.98,,190122.49
01/11/2018 15:30,01/11/2018 23:01,EURUSD,Buy,7.81,0,0,1.20128,1.20334,20.6,1608.86,00:07:31:00,0.85,,188279.33
01/11/2018 14:56,01/11/2018 15:28,EURUSD,Buy,7.82,0,0,1.20101,1.20074,-2.7,-211.14,00:00:32:00,-0.11,,186670.47
01/11/2018 14:57,01/11/2018 15:28,EURUSD,Buy,7.82,0,0,1.20074,1.20074,0,0,00:00:31:00,0,,186881.61
01/11/2018 13:36,01/11/2018 14:55,EURUSD,Buy,7.48,0,0,1.19465,1.20074,60.9,4555.32,00:01:19:00,2.55,,186881.61
01/11/2018 13:37,01/11/2018 14:55,EURUSD,Buy,7.48,0,0,1.1946,1.20074,61.4,4592.72,00:01:18:00,2.51,,182326.29
01/11/2018 11:45,01/11/2018 13:35,EURUSD,Buy,7.49,0,0,1.19475,1.19455,-2,-149.8,00:01:50:00,-0.08,,177733.57
01/11/2018 11:46,01/11/2018 13:35,EURUSD,Buy,7.49,0,0,1.19468,1.19455,-1.3,-97.37,00:01:49:00,-0.05,,177883.37
01/11/2018 11:28,01/11/2018 11:44,EURUSD,Sell,7.54,0,0,1.19415,1.19482,-6.7,-505.18,00:00:16:00,-0.28,,177980.74
01/11/2018 11:29,01/11/2018 11:44,EURUSD,Sell,7.54,0,0,1.1941,1.19482,-7.2,-542.88,00:00:15:00,-0.3,,178485.92
01/11/2018 11:17,01/11/2018 11:27,EURUSD,Buy,7.55,0,0,1.19434,1.19411,-2.3,-173.65,00:00:10:00,-0.1,,179028.8
01/11/2018 11:18,01/11/2018 11:27,EURUSD,Buy,7.55,0,0,1.19441,1.19411,-3,-226.5,00:00:09:00,-0.13,,179202.45
01/11/2018 10:29,01/11/2018 11:16,EURUSD,Buy,7.49,0,0,1.19322,1.19433,11.1,831.39,00:00:47:00,0.46,,179428.95
01/11/2018 10:30,01/11/2018 11:16,EURUSD,Buy,7.49,0,0,1.19333,1.19433,10,749,00:00:46:00,0.42,,178597.56
01/11/2018 09:05,01/11/2018 10:28,EURUSD,Sell,7.39,0,0,1.19459,1.19324,13.5,997.65,00:01:23:00,0.56,,177848.56
01/11/2018 09:06,01/11/2018 10:28,EURUSD,Sell,7.39,0,0,1.19487,1.19324,16.3,1204.57,00:01:22:00,0.68,,176850.91
01/10/2018 16:18,01/10/2018 17:39,EURUSD,Sell,7.22,0,0,1.20052,1.19803,24.9,1797.78,00:01:21:00,1.04,,175646.34
01/10/2018 16:19,01/10/2018 17:39,EURUSD,Sell,7.22,0,0,1.20014,1.19803,21.1,1523.42,00:01:20:00,0.87,,173848.56
01/10/2018 15:48,01/10/2018 16:17,EURUSD,Buy,7.16,0,0,1.19935,1.20058,12.3,880.68,00:00:29:00,0.51,,172325.14
01/10/2018 15:49,01/10/2018 16:17,EURUSD,Buy,7.16,0,0,1.19952,1.20058,10.6,758.96,00:00:28:00,0.44,,171444.46
01/10/2018 15:21,01/10/2018 15:47,EURUSD,Buy,7.19,0,0,1.19964,1.19923,-4.1,-294.79,00:00:26:00,-0.17,,170685.5
01/10/2018 15:22,01/10/2018 15:47,EURUSD,Buy,7.19,0,0,1.19986,1.19923,-6.3,-452.97,00:00:25:00,-0.26,,170980.29
01/10/2018 14:43,01/10/2018 15:20,EURUSD,Sell,7.12,0,0,1.20067,1.19961,10.6,754.72,00:00:37:00,0.44,,171433.26
01/10/2018 14:44,01/10/2018 15:20,EURUSD,Sell,7.12,0,0,1.2006,1.19961,9.9,704.88,00:00:36:00,0.41,,170678.54
01/10/2018 13:40,01/10/2018 14:42,EURUSD,Buy,7.12,0,0,1.20073,1.20055,-1.8,-128.16,00:01:02:00,-0.07,,169973.66
01/10/2018 13:41,01/10/2018 14:42,EURUSD,Buy,7.12,0,0,1.20042,1.20055,1.3,92.56,00:01:01:00,0.05,,170101.82
01/10/2018 05:45,01/10/2018 13:39,EURUSD,Buy,6.81,0,0,1.1944,1.20054,61.4,4181.34,00:07:54:00,2.57,,170009.26
01/10/2018 05:46,01/10/2018 13:39,EURUSD,Buy,6.81,0,0,1.19435,1.20054,61.9,4215.39,00:07:53:00,2.53,,165827.92
01/10/2018 02:30,01/10/2018 05:44,EURUSD,Buy,6.77,0,0,1.19357,1.19434,7.7,521.29,00:03:14:00,0.32,,161612.53
01/10/2018 02:31,01/10/2018 05:44,EURUSD,Buy,6.77,0,0,1.19348,1.19434,8.6,582.22,00:03:13:00,0.36,,161091.24
12/26/2017 17:00,12/26/2017 18:28,EURUSD,Sell,6.79,0,0,1.18767,1.18697,7,475.3,00:01:28:00,0.3,,160509.02
12/26/2017 17:11,12/26/2017 18:28,EURUSD,Sell,6.78,0,0,1.18702,1.18697,0.5,33.9,00:01:17:00,0.02,,160033.72
12/26/2017 17:01,12/26/2017 17:10,EURUSD,Buy,6.79,0,0,1.1875,1.18699,-5.1,-346.29,00:00:09:00,-0.21,,159999.82
12/26/2017 12:35,12/26/2017 16:59,EURUSD,Buy,6.76,0,0,1.18606,1.18673,6.7,452.92,00:04:24:00,0.28,,160346.11
12/26/2017 12:36,12/26/2017 16:59,EURUSD,Buy,6.76,0,0,1.186,1.18673,7.3,493.48,00:04:23:00,0.31,,159893.19
12/26/2017 11:32,12/26/2017 12:34,EURUSD,Sell,6.74,0,0,1.18628,1.18598,3,202.2,00:01:02:00,0.13,,159399.71
12/26/2017 11:33,12/26/2017 12:34,EURUSD,Sell,6.75,0,0,1.18622,1.18598,2.4,162,00:01:01:00,0.1,,159197.51
12/22/2017 18:35,12/26/2017 11:31,EURUSD,Buy,6.64,0,0,1.18425,1.18657,23.2,1436.63,03:16:56:00,0.91,,159035.51
12/22/2017 18:36,12/26/2017 11:31,EURUSD,Buy,6.64,0,0,1.18437,1.18657,22,1356.95,03:16:55:00,0.86,,157598.88
12/22/2017 11:58,12/22/2017 18:34,EURUSD,Sell,6.62,0,0,1.1847,1.18432,3.8,251.56,00:06:36:00,0.16,,156241.93
12/22/2017 11:59,12/22/2017 18:34,EURUSD,Sell,6.62,0,0,1.18464,1.18432,3.2,211.84,00:06:35:00,0.13,,155990.37
12/22/2017 11:26,12/22/2017 11:57,EURUSD,Sell,6.54,0,0,1.18602,1.18466,13.6,889.44,00:00:31:00,0.57,,155778.53
12/22/2017 11:27,12/22/2017 11:57,EURUSD,Sell,6.54,0,0,1.1858,1.18466,11.4,745.56,00:00:30:00,0.48,,154889.09
12/21/2017 16:23,12/21/2017 18:42,EURUSD,Buy,6.48,0,0,1.18595,1.18708,11.3,732.24,00:02:19:00,0.48,,154143.53
12/21/2017 16:24,12/21/2017 18:42,EURUSD,Buy,6.48,0,0,1.18597,1.18708,11.1,719.28,00:02:18:00,0.47,,153411.29
12/21/2017 01:37,12/21/2017 07:43,EURUSD,Sell,6.42,0,0,1.18754,1.18663,9.1,584.22,00:06:06:00,0.38,,152692.01
12/21/2017 01:38,12/21/2017 07:43,EURUSD,Sell,6.42,0,0,1.18755,1.18663,9.2,590.64,00:06:05:00,0.39,,152107.79
12/21/2017 01:27,12/21/2017 01:36,EURUSD,Sell,6.46,0,0,1.18698,1.18762,-6.4,-413.44,00:00:09:00,-0.27,,151517.15
12/21/2017 01:28,12/21/2017 01:36,EURUSD,Sell,6.46,0,0,1.18699,1.18762,-6.3,-406.98,00:00:08:00,-0.27,,151930.59
12/20/2017 20:07,12/21/2017 01:26,EURUSD,Sell,6.39,0,0,1.18809,1.18708,10.1,742.58,00:05:19:00,0.49,,152337.57
