Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
11/20/2020 06:40,11/20/2020 09:07,EURUSD,Sell,0.01,1.1880899999999999,1.1877,0,0,0,0
11/20/2020 05:25,11/20/2020 09:07,EURUSD,Sell,0.01,1.18781,1.1877,0,0,0,0
11/20/2020 05:10,11/20/2020 09:07,EURUSD,Sell,0.01,1.18759,1.1877,0,0,0,0
11/20/2020 04:15,11/20/2020 09:07,EURUSD,Sell,0.01,1.18735,1.1877,0,0,0,0
11/20/2020 07:45,11/20/2020 09:07,EURUSD,Sell,0.01,1.1887299999999998,1.1877,0,0,0,0
11/20/2020 06:45,11/20/2020 09:07,EURUSD,Sell,0.01,1.18842,1.1877,0,0,0,0
11/20/2020 09:10,11/20/2020 09:16,EURUSD,Sell,0.01,1.18777,1.18746,0,0,0,0
11/20/2020 09:20,11/20/2020 09:33,EURUSD,Sell,0.01,1.1873799999999999,1.18708,0,0,0,0
11/20/2020 09:45,11/20/2020 10:01,EURUSD,Buy,0.01,1.18677,1.1872,0,0,0,0
11/20/2020 09:40,11/20/2020 10:01,EURUSD,Buy,0.01,1.18702,1.1872200000000002,0,0,0,0
11/20/2020 10:40,11/20/2020 10:55,EURUSD,Buy,0.01,1.18666,1.18726,0,0,0,0
11/20/2020 10:10,11/20/2020 10:55,EURUSD,Buy,0.01,1.18698,1.18726,0,0,0,0
11/20/2020 10:05,11/20/2020 10:55,EURUSD,Buy,0.01,1.18723,1.18726,0,0,0,0
11/20/2020 12:30,11/20/2020 13:38,EURUSD,Buy,0.01,1.1853200000000002,1.1863,0,0,0,0
11/20/2020 12:20,11/20/2020 13:38,EURUSD,Buy,0.01,1.18546,1.1863,0,0,0,0
11/20/2020 12:10,11/20/2020 13:38,EURUSD,Buy,0.01,1.18577,1.1863,0,0,0,0
11/20/2020 11:10,11/20/2020 13:38,EURUSD,Buy,0.01,1.18592,1.1863,0,0,0,0
11/20/2020 11:05,11/20/2020 13:38,EURUSD,Buy,0.01,1.18624,1.1863,0,0,0,0
11/20/2020 11:00,11/20/2020 13:38,EURUSD,Buy,0.01,1.18729,1.1863,0,0,0,0
11/20/2020 13:40,11/20/2020 13:45,EURUSD,Buy,0.01,1.18651,1.18682,0,0,0,0
11/20/2020 13:50,11/20/2020 13:51,EURUSD,Buy,0.01,1.18692,1.18723,0,0,0,0
11/20/2020 13:55,11/20/2020 14:01,EURUSD,Buy,0.01,1.1873799999999999,1.1876799999999998,0,0,0,0
11/20/2020 14:05,11/20/2020 14:08,EURUSD,Sell,0.01,1.18725,1.18695,0,0,0,0
