Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
02/04/2021 15:23,12/31/2021 13:11,EURGBP,Buy,1.00,0.00000,0.00000,0.87760,0.83955,-380.5,-6594.78,329:21:47:21,-0.18%
12/31/2021 10:47,12/31/2021 13:10,EURGBP,Buy,35.00,0.00000,0.00000,0.83741,0.83953,21.2,9764.81,00:02:23:17,0.27%
12/30/2021 16:17,12/30/2021 23:05,EURGBP,Buy,35.00,0.00000,0.00000,0.83877,0.83894,1.7,557.96,00:06:48:36,0.02%
02/04/2021 15:23,12/29/2021 16:35,EURGBP,Buy,0.40,0.00000,0.00000,0.87760,0.84170,-359.0,-2511.10,328:01:11:26,-0.07%
12/29/2021 10:21,12/29/2021 16:34,EURGBP,Buy,35.00,0.00000,0.00000,0.84123,0.84196,7.3,3193.75,00:06:12:54,0.09%
02/04/2021 15:23,12/28/2021 22:14,EURGBP,Buy,0.50,0.00000,0.00000,0.87760,0.84176,-358.4,-3130.07,327:06:51:04,-0.09%
12/28/2021 16:10,12/28/2021 18:44,EURGBP,Buy,35.00,0.00000,0.00000,0.84147,0.84221,7.4,3232.39,00:02:34:28,0.09%
12/27/2021 17:27,12/27/2021 17:58,EURGBP,Sell,35.00,0.00000,0.00000,0.84395,0.84359,3.6,1446.20,00:00:30:56,0.04%
12/24/2021 02:23,12/24/2021 12:17,EURCHF,Buy,35.00,0.00000,0.00000,1.04001,1.04016,1.5,327.41,00:09:53:21,0.01%
12/23/2021 13:54,12/23/2021 14:05,EURGBP,Sell,35.00,0.00000,0.84200,0.84303,0.84292,1.1,272.19,00:00:11:08,0.01%
12/23/2021 13:54,12/23/2021 14:03,EURGBP,Sell,35.00,0.00000,0.84250,0.84303,0.84294,0.9,178.26,00:00:09:51,0.00%
02/04/2021 15:23,12/23/2021 11:28,EURGBP,Buy,1.00,0.00000,0.00000,0.87760,0.84543,-321.7,-5751.08,321:20:05:13,-0.16%
12/23/2021 02:36,12/23/2021 10:19,EURGBP,Sell,35.00,0.00000,0.00000,0.84874,0.84683,19.1,8694.99,00:07:42:45,0.24%
12/16/2021 15:09,12/22/2021 23:36,EURGBP,Sell,35.00,0.00000,0.00000,0.84841,0.84828,1.3,270.14,06:08:27:24,0.01%
02/04/2021 15:23,12/21/2021 16:08,EURGBP,Buy,1.00,0.00000,0.00000,0.87760,0.85144,-261.6,-4905.03,320:00:44:35,-0.14%
12/21/2021 15:10,12/21/2021 16:06,EURGBP,Sell,35.00,0.00000,0.00000,0.85245,0.85181,6.4,2724.00,00:00:55:42,0.08%
12/21/2021 13:19,12/21/2021 13:34,EURCHF,Buy,35.00,0.00000,0.00000,1.03993,1.04011,1.8,438.11,00:00:14:49,0.01%
12/20/2021 17:28,12/21/2021 12:15,EURCHF,Buy,35.00,0.00000,0.00000,1.03996,1.04018,2.2,533.64,00:18:46:56,0.01%
12/21/2021 10:32,12/21/2021 11:46,EURGBP,Sell,35.00,0.00000,0.00000,0.85312,0.85280,3.2,1239.21,00:01:13:58,0.03%
12/20/2021 16:25,12/21/2021 10:19,EURGBP,Sell,35.00,0.00000,0.00000,0.85309,0.85279,3.0,1122.40,00:17:54:04,0.03%
02/04/2021 15:23,12/20/2021 15:12,EURGBP,Buy,1.00,0.00000,0.00000,0.87760,0.85210,-255.0,-4943.13,318:23:48:23,-0.14%
12/20/2021 14:50,12/20/2021 15:11,EURGBP,Sell,35.00,0.00000,0.00000,0.85308,0.85244,6.4,2718.20,00:00:21:16,0.08%
12/17/2021 12:34,12/20/2021 12:35,EURCHF,Buy,35.00,0.00000,0.00000,1.03990,1.04044,5.4,1743.58,03:00:00:52,0.05%
12/20/2021 01:03,12/20/2021 01:29,EURGBP,Buy,35.00,0.00000,0.85000,0.84921,0.84959,3.8,1514.04,00:00:25:36,0.04%
12/16/2021 13:15,12/16/2021 15:55,EURCHF,Buy,35.00,0.00000,0.00000,1.04504,1.04519,1.5,325.13,00:02:39:44,0.01%
02/04/2021 15:23,12/16/2021 14:11,EURGBP,Buy,2.00,0.00000,0.00000,0.87760,0.84658,-310.2,-11179.78,314:22:48:13,-0.31%
12/15/2021 16:40,12/16/2021 14:11,EURGBP,Sell,35.00,0.00000,0.00000,0.85046,0.84664,38.2,17549.72,00:21:31:23,0.49%
11/29/2021 19:11,12/16/2021 14:11,EURGBP,Sell,35.00,0.00000,0.00000,0.84707,0.84661,4.6,1515.73,16:18:59:52,0.04%
02/04/2021 15:23,12/16/2021 13:21,EURGBP,Buy,2.00,0.00000,0.00000,0.87760,0.85177,-258.3,-9769.92,314:21:57:44,-0.27%
12/09/2021 10:39,12/16/2021 12:32,EURCHF,Buy,35.00,0.00000,0.00000,1.04275,1.04561,28.6,10182.77,07:01:53:14,0.29%
12/08/2021 18:11,12/16/2021 12:32,EURCHF,Buy,35.00,0.00000,0.00000,1.04519,1.04566,4.7,961.52,07:18:21:08,0.03%
02/04/2021 15:23,12/15/2021 10:34,EURGBP,Buy,0.50,0.00000,0.00000,0.87760,0.84939,-282.1,-2595.82,313:19:10:56,-0.07%
12/13/2021 14:42,12/15/2021 10:00,EURGBP,Sell,35.00,0.00000,0.00000,0.85094,0.85027,6.7,2816.40,01:19:17:37,0.08%
12/14/2021 19:18,12/15/2021 09:33,EURCHF,Buy,35.00,0.00000,0.00000,1.04117,1.04156,3.9,1174.51,00:14:15:30,0.03%
02/04/2021 15:23,12/14/2021 17:35,EURGBP,Buy,0.05,0.00000,0.00000,0.87760,0.85286,-247.4,-235.82,313:02:11:54,-0.01%
02/04/2021 15:23,12/14/2021 17:35,EURGBP,Buy,0.60,0.00000,0.00000,0.87760,0.85290,-247.0,-2829.43,313:02:11:28,-0.08%
12/14/2021 13:01,12/14/2021 13:37,EURGBP,Sell,35.00,0.00000,0.00000,0.85481,0.85436,4.5,1841.96,00:00:35:35,0.05%
12/14/2021 04:47,12/14/2021 10:14,EURGBP,Sell,35.00,0.00000,0.85320,0.85427,0.85380,4.7,1927.01,00:05:27:14,0.05%
12/13/2021 19:23,12/13/2021 21:47,EURGBP,Sell,35.00,0.00000,0.00000,0.85449,0.85434,1.5,449.07,00:02:24:00,0.01%
12/08/2021 02:54,12/13/2021 11:27,EURGBP,Sell,35.00,0.00000,0.00000,0.85114,0.85103,1.1,161.41,05:08:33:23,0.00%
12/09/2021 18:12,12/09/2021 19:40,EURGBP,Sell,35.00,0.00000,0.00000,0.85511,0.85486,2.5,910.88,00:01:27:14,0.03%
12/08/2021 14:56,12/09/2021 17:13,EURGBP,Sell,35.00,0.00000,0.00000,0.85561,0.85539,2.2,715.19,01:02:16:49,0.02%
02/04/2021 15:23,12/08/2021 17:32,EURGBP,Buy,2.00,0.00000,0.00000,0.87760,0.85807,-195.3,-8012.77,307:02:09:15,-0.23%
12/07/2021 10:37,12/08/2021 17:30,EURCHF,Buy,35.00,0.00000,0.00000,1.04295,1.04501,20.6,7512.13,01:06:52:58,0.21%
12/06/2021 19:27,12/08/2021 17:30,EURCHF,Buy,35.00,0.00000,0.00000,1.04454,1.04500,4.6,1385.62,01:22:03:02,0.04%
02/04/2021 15:23,12/08/2021 13:53,EURGBP,Buy,1.00,0.00000,0.00000,0.87760,0.85338,-242.2,-4633.32,306:22:29:54,-0.13%
12/08/2021 13:27,12/08/2021 13:52,EURGBP,Sell,35.00,0.00000,0.00000,0.85495,0.85377,11.8,5213.42,00:00:25:29,0.15%
12/06/2021 15:33,12/06/2021 20:14,EURGBP,Sell,35.00,0.00000,0.00000,0.85129,0.85103,2.6,961.13,00:04:40:40,0.03%
12/06/2021 12:30,12/06/2021 18:09,EURCHF,Buy,35.00,0.00000,0.00000,1.04187,1.04350,16.3,5920.44,00:05:38:25,0.17%
12/03/2021 15:33,12/06/2021 13:37,EURGBP,Sell,35.00,0.00000,0.00000,0.85112,0.85099,1.3,340.27,02:22:04:18,0.01%
02/04/2021 15:23,12/06/2021 13:33,EURGBP,Buy,2.00,0.00000,0.00000,0.87760,0.85144,-261.6,-9800.99,304:22:09:48,-0.28%
12/03/2021 18:50,12/06/2021 13:32,EURGBP,Sell,35.00,0.00000,0.00000,0.85410,0.85139,27.1,12326.03,02:18:41:40,0.35%
02/04/2021 15:23,12/06/2021 12:15,EURGBP,Buy,3.00,0.00000,0.00000,0.87760,0.85230,-253.0,-14374.64,304:20:52:04,-0.40%
11/30/2021 11:04,12/06/2021 12:11,EURCHF,Buy,35.00,0.00000,1.04230,1.04408,1.04225,-18.3,-7536.54,06:01:07:43,-0.21%
