,index,dt,equity,balance
0,0,2021-11-16 02:34:00,0,0
1,1,2021-11-16 02:35:00,0,0
2,2,2021-11-16 02:36:00,0,0
3,3,2021-11-16 02:37:00,0,0
4,4,2021-11-16 02:38:00,0,0
5,5,2021-11-16 02:39:00,0,0
6,6,2021-11-16 02:40:00,0,0
7,7,2021-11-16 02:41:00,0,0
8,8,2021-11-16 02:42:00,0,0
9,9,2021-11-16 02:43:00,0,0
10,10,2021-11-16 02:44:00,0,0
11,11,2021-11-16 02:45:00,0,0
12,12,2021-11-16 02:46:00,0,0
13,13,2021-11-16 02:47:00,0,0
14,14,2021-11-16 02:48:00,0,0
15,15,2021-11-16 02:49:00,0,0
16,16,2021-11-16 02:50:00,0,0
17,17,2021-11-16 02:51:00,0,0
18,18,2021-11-16 02:52:00,0,0
19,19,2021-11-16 02:53:00,0,0
20,20,2021-11-16 02:54:00,0,0
21,21,2021-11-16 02:55:00,0,0
22,22,2021-11-16 02:56:00,0,0
23,23,2021-11-16 02:57:00,0,0
24,24,2021-11-16 02:58:00,0,0
25,25,2021-11-16 02:59:00,0,0
26,26,2021-11-16 03:00:00,0,0
27,27,2021-11-16 03:01:00,0,0
28,28,2021-11-16 03:02:00,0,0
29,29,2021-11-16 03:03:00,0,0
30,30,2021-11-16 03:04:00,0,0
31,31,2021-11-16 03:05:00,0,0
32,32,2021-11-16 03:06:00,0,0
33,33,2021-11-16 03:07:00,0,0
34,34,2021-11-16 03:08:00,0,0
35,35,2021-11-16 03:09:00,0,0
36,36,2021-11-16 03:10:00,0,0
37,37,2021-11-16 03:11:00,0,0
38,38,2021-11-16 03:12:00,0,0
39,39,2021-11-16 03:13:00,0,0
40,40,2021-11-16 03:14:00,0,0
41,41,2021-11-16 03:15:00,0,0
42,0,2021-11-16 03:16:00,0,0
43,1,2021-11-16 03:17:00,0,0
44,2,2021-11-16 03:18:00,0,0
45,3,2021-11-16 03:19:00,0,0
46,4,2021-11-16 03:20:00,0,0
47,5,2021-11-16 03:21:00,0,0
48,6,2021-11-16 03:22:00,0,0
49,7,2021-11-16 03:23:00,0,0
50,8,2021-11-16 03:24:00,0,0
51,9,2021-11-16 03:25:00,0,0
52,10,2021-11-16 03:26:00,0,0
53,11,2021-11-16 03:27:00,0,0
54,12,2021-11-16 03:28:00,0,0
55,13,2021-11-16 03:29:00,0,0
56,14,2021-11-16 03:30:00,0,0
57,15,2021-11-16 03:31:00,0,0
58,16,2021-11-16 03:32:00,0,0
59,17,2021-11-16 03:33:00,0,0
60,18,2021-11-16 03:34:00,0,0
61,19,2021-11-16 03:35:00,0,0
62,20,2021-11-16 03:36:00,0,0
63,21,2021-11-16 03:37:00,0,0
64,22,2021-11-16 03:38:00,0,0
65,23,2021-11-16 03:39:00,0,0
66,24,2021-11-16 03:40:00,0,0
67,25,2021-11-16 03:41:00,0,0
68,26,2021-11-16 03:42:00,0,0
69,27,2021-11-16 03:43:00,0,0
70,28,2021-11-16 03:44:00,0,0
71,29,2021-11-16 03:45:00,0,0
72,30,2021-11-16 03:46:00,0,0
73,31,2021-11-16 03:47:00,0,0
74,32,2021-11-16 03:48:00,0,0
75,33,2021-11-16 03:49:00,0,0
76,34,2021-11-16 03:50:00,0,0
77,35,2021-11-16 03:51:00,0,0
78,36,2021-11-16 03:52:00,0,0
79,37,2021-11-16 03:53:00,0,0
80,38,2021-11-16 03:54:00,0,0
81,39,2021-11-16 03:55:00,0,0
82,40,2021-11-16 03:56:00,0,0
83,41,2021-11-16 03:57:00,0,0
84,0,2021-11-16 03:58:00,0,0
85,1,2021-11-16 03:59:00,0,0
86,2,2021-11-16 04:00:00,0,0
87,3,2021-11-16 04:01:00,0,0
88,4,2021-11-16 04:02:00,0,0
89,5,2021-11-16 04:03:00,0,0
90,6,2021-11-16 04:04:00,-7.200000000000273,0
91,7,2021-11-16 04:05:00,-16.499999999998636,0
92,8,2021-11-16 04:06:00,-7.799999999999726,0
93,9,2021-11-16 04:07:00,0.8999999999991815,0
94,10,2021-11-16 04:08:00,4.800000000002456,0
95,11,2021-11-16 04:09:00,5.700000000001637,0
96,12,2021-11-16 04:10:00,3.9000000000032737,0
97,13,2021-11-16 04:11:00,10.80000000000382,0
98,14,2021-11-16 04:12:00,12.300000000002456,0
99,15,2021-11-16 04:13:00,13.500000000001364,0
100,16,2021-11-16 04:14:00,17.399999999997817,0
101,17,2021-11-16 04:15:00,20.100000000002183,22.799999999999727
