,dt,equity,balance
0,2017-08-07 00:00:00,0,0
1,2017-08-07 01:00:00,0,0
2,2017-08-07 02:00:00,0,0
3,2017-08-07 03:00:00,0,0
4,2017-08-07 04:00:00,0,0
5,2017-08-07 05:00:00,0,0
6,2017-08-07 06:00:00,0,0
7,2017-08-07 07:00:00,0,0
8,2017-08-07 08:00:00,0,0
9,2017-08-07 09:00:00,0,0
10,2017-08-07 10:00:00,0,0
11,2017-08-07 11:00:00,0,0
12,2017-08-07 12:00:00,0,0
13,2017-08-07 13:00:00,0,0
14,2017-08-07 14:00:00,0,0
15,2017-08-07 15:00:00,0,0
16,2017-08-07 16:00:00,0,0
17,2017-08-07 17:00:00,0,0
18,2017-08-07 18:00:00,0,0
19,2017-08-07 19:00:00,0,0
20,2017-08-07 20:00:00,0,0
21,2017-08-07 21:00:00,0,0
22,2017-08-07 22:00:00,0,0
23,2017-08-07 23:00:00,0,0
24,2017-08-08 00:00:00,0,0
25,2017-08-08 01:00:00,-0.5440000000001,0
26,2017-08-08 02:00:00,-0.5840000000000067,0
27,2017-08-08 03:00:00,-1.6640000000000654,-0.7840000000000735
28,2017-08-08 04:00:00,-0.7840000000000735,-0.7840000000000735
29,2017-08-08 05:00:00,-0.7840000000000735,-0.7840000000000735
30,2017-08-08 06:00:00,-0.7840000000000735,-0.7840000000000735
31,2017-08-08 07:00:00,-0.7840000000000735,-0.7840000000000735
32,2017-08-08 08:00:00,-0.7840000000000735,-0.7840000000000735
33,2017-08-08 09:00:00,-1.14800000000006,-0.7840000000000735
34,2017-08-08 10:00:00,-0.7679999999999687,-0.46800000000004616
35,2017-08-08 11:00:00,-0.7960000000000633,-0.46800000000004616
36,2017-08-08 12:00:00,-0.6760000000001654,-0.46800000000004616
37,2017-08-08 13:00:00,-1.0120000000000573,-0.46800000000004616
38,2017-08-08 14:00:00,-0.8840000000001069,-0.46800000000004616
39,2017-08-08 15:00:00,-0.9320000000000661,-0.46800000000004616
40,2017-08-08 16:00:00,-0.47600000000009857,-0.1480000000000814
41,2017-08-08 17:00:00,-0.44800000000000395,-0.1480000000000814
42,2017-08-08 18:00:00,4.455999999999971,-0.1480000000000814
43,2017-08-08 19:00:00,4.1839999999999655,-0.1480000000000814
44,2017-08-08 20:00:00,6.548000000000087,3.4559999999999924
45,2017-08-08 21:00:00,3.6160000000001524,3.900000000000059
46,2017-08-08 22:00:00,4.708000000000023,4.4640000000000235
47,2017-08-08 23:00:00,4.4640000000000235,4.4640000000000235
48,2017-08-09 00:00:00,4.3400000000000105,4.4640000000000235
49,2017-08-09 01:00:00,3.739999999999988,4.4640000000000235
50,2017-08-09 02:00:00,3.59600000000011,4.4640000000000235
51,2017-08-09 03:00:00,4.276000000000124,4.4640000000000235
52,2017-08-09 04:00:00,4.756000000000071,4.4640000000000235
53,2017-08-09 05:00:00,5.404000000000231,4.4640000000000235
54,2017-08-09 06:00:00,5.812000000000239,4.4640000000000235
55,2017-08-09 07:00:00,5.524000000000129,4.4640000000000235
56,2017-08-09 08:00:00,5.1160000000001205,4.4640000000000235
57,2017-08-09 09:00:00,4.348000000000063,4.4640000000000235
58,2017-08-09 10:00:00,3.74800000000004,4.4640000000000235
59,2017-08-09 11:00:00,5.259999999999998,4.4640000000000235
60,2017-08-09 12:00:00,4.452000000000211,4.4640000000000235
61,2017-08-09 13:00:00,4.54800000000013,4.4640000000000235
62,2017-08-09 14:00:00,5.356000000000094,4.4640000000000235
63,2017-08-09 15:00:00,4.9320000000001585,4.4640000000000235
64,2017-08-09 16:00:00,5.020000000000024,4.4640000000000235
65,2017-08-09 17:00:00,7.232000000000216,6.964000000000148
66,2017-08-09 18:00:00,6.964000000000148,6.964000000000148
67,2017-08-09 19:00:00,6.304000000000376,6.964000000000148
68,2017-08-09 20:00:00,8.304000000000489,8.574000000000371
69,2017-08-09 21:00:00,7.34400000000053,8.054000000000407
70,2017-08-09 22:00:00,7.559000000000384,8.054000000000407
71,2017-08-09 23:00:00,7.119000000000388,8.054000000000407
72,2017-08-10 00:00:00,7.099000000000257,8.054000000000407
73,2017-08-10 01:00:00,6.1890000000002905,8.054000000000407
74,2017-08-10 02:00:00,6.849000000000395,8.054000000000407
75,2017-08-10 03:00:00,6.8290000000004865,8.054000000000407
76,2017-08-10 04:00:00,6.95900000000045,8.054000000000407
77,2017-08-10 05:00:00,8.274000000000516,8.62900000000051
78,2017-08-10 06:00:00,7.579000000000515,8.369000000000472
79,2017-08-10 07:00:00,8.714000000000624,8.369000000000472
80,2017-08-10 08:00:00,8.764000000000507,8.369000000000472
81,2017-08-10 09:00:00,8.574000000000595,8.369000000000472
82,2017-08-10 10:00:00,11.149000000000697,10.434000000000566
83,2017-08-10 11:00:00,9.094000000000669,10.434000000000566
84,2017-08-10 12:00:00,11.084000000000383,11.214000000000569
85,2017-08-10 13:00:00,9.959000000000675,11.214000000000569
86,2017-08-10 14:00:00,10.859000000000574,11.214000000000569
87,2017-08-10 15:00:00,11.999000000000493,11.214000000000569
88,2017-08-10 16:00:00,14.404000000000817,13.039000000000646
89,2017-08-10 17:00:00,11.019000000000736,13.039000000000646
90,2017-08-10 18:00:00,13.32900000000077,13.039000000000646
